Ticker,Name,Sector,Industry
SLHN,Swiss Life,Insurance,Insurance
SMDS,DS Smith,Industrial Goods and Services,Industrial Goods and Services
SMIN,Smiths Group,Industrial Goods and Services,Industrial Goods and Services
SMIN,Smiths Group,Industrial Goods and Services,Industrial Goods and Services
SMIN,Smiths Group,Industrial Goods and Services,Industrial Goods and Services
SMT,Scottish Mortgage Investment Trust,Financial Services,Financial Services
SN,Smith & Nephew,Health Care,Health Care
SN,Smith & Nephew,Health Care,Health Care
SN.,Smith & Nephew,Health Care,Health Care
SNY,Sanofi,Health Care,Health Care
SOGN,Société Générale,Banks,Banks
SOLB,Solvay,Chemicals,Chemicals
SON,Sonova,Health Care,Health Care
SOON,Sonova,Health Care,Health Care
SOW,Software,Technology,Technology
SPSN,Swiss Prime Site,Real Estate,Real Estate
SPX,Spirax-Sarco Engineering,Industrial Goods and Services,Industrial Goods and Services
SPX,Spirax-Sarco Engineering,Industrial Goods and Services,Industrial Goods and Services
SPX,Spirax-Sarco Engineering,Industrial Goods and Services,Industrial Goods and Services
SRB,Storebrand,Insurance,Insurance
SRENH,Swiss Re,Insurance,Insurance
SRG,Snam,Energy,Energy
SRT3,Sartorius,Health Care,Health Care
SSE,SSE plc,Utilities,Utilities
SSE,SSE,Utilities,Utilities
STAN,Standard Chartered,Banks,Banks
STAN,Standard Chartered,Banks,Banks
STER,Stora Enso,Basic Resources,Basic Resources
STJ,St. James's Place,Financial Services,Financial Services
STLAM,Stellantis,Automobiles and Parts,Automobiles and Parts
STLAM,Stellantis,Automobiles and Parts,Automobiles and Parts
STMN,Straumann,Health Care,Health Care
STMN,Straumann,Health Care,Health Care
STMPA,STMicroelectronics,Technology,Technology
STMPA,STMicroelectronics,Technology,Technology
SU,Schneider Electric,Industrial Goods and Services,Industrial Goods and Services
SVT,Severn Trent,Utilities,Utilities
SW,Sodexo,Travel and Leisure,Travel and Leisure
SWECO B,Sweco,Construction and Materials,Construction and Materials
SWED A,Swedbank,Banks,Banks
SWMA,Swedish Match,"Food, Beverage and Tobacco","Food, Beverage and Tobacco"
SWMA,Swedish Match,"Food, Beverage and Tobacco","Food, Beverage and Tobacco"
SXS,Spectris,Industrial Goods and Services,Industrial Goods and Services
SY1,Symrise,Chemicals,Chemicals
TATE,Tate & Lyle,"Food, Beverage and Tobacco","Food, Beverage and Tobacco"
TEF,Telefónica,Telecommunications,Telecommunications
TEL,Telenor,Telecommunications,Telecommunications
TEL2 B,Tele2,Telecommunications,Telecommunications
TEL2b,Tele2,Telecommunications,Telecommunications
TELIA,Telia Company,Telecommunications,Telecommunications
TEMN,Temenos Group,Technology,Technology
TEN,Tenaris,Energy,Energy
TEP,Teleperformance,Industrial Goods and Services,Industrial Goods and Services
TEV,Teva Pharmaceutical Industries,Health Care,Health Care
TGS,TGS,Energy,Energy
THL,Thales,Industrial Goods and Services,Industrial Goods and Services
TIGO,Millicom,Telecommunications,Telecommunications
TIT,Telecom Italia,Telecommunications,Telecommunications
TJW,Taylor Wimpey,Consumer Products and Services,Consumer Products and Services
TKA,ThyssenKrupp,Industrial Goods and Services,Industrial Goods and Services
TLX,Talanx,Insurance,Insurance
TMV,TeamViewer,Technology,Technology
